,height,hem,hip,outer_leg,waist,thigh
2454,154.6,32.75,48.15,47.7,42.1,27.75
2455,150.6,29.75,43.0,45.75,37.95,25.2
2456,168.3,32.75,46.85,51.25,38.85,25.8
2457,156.5,32.4,45.9,47.95,36.45,27.3
2458,154.5,30.95,44.9,47.3,39.5,26.4
2460,164.9,33.2,50.5,50.25,39.05,29.7
2461,166.3,34.75,47.7,51.1,35.7,26.25
2462,169.2,33.15,47.95,52.2,39.1,27.55
2463,156.9,35.75,53.5,46.75,47.55,32.7
2464,159.2,30.05,42.0,49.35,33.25,23.9
2465,166.2,33.55,48.7,50.25,39.2,27.4
2466,155.8,33.3,46.6,46.85,38.0,27.25
2467,165.2,30.0,45.45,50.85,37.2,25.35
2468,163.0,31.25,44.65,49.95,34.2,26.25
2469,173.5,36.2,52.35,53.5,47.65,28.9
2470,152.8,34.65,47.9,46.9,44.45,27.85
2471,155.1,30.5,42.75,48.25,36.75,24.4
2472,154.2,36.95,50.85,47.75,45.9,28.5
2473,157.1,31.75,46.05,47.95,38.25,27.1
2474,169.1,33.5,45.9,52.15,32.4,24.35
